ID;Descrição;Preço em R$
54;Memória Kingston Fury Impact, 16GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/16R;289,99
55;Memória XPG Spectrix D35G, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Branco - AX4U320016G16A-DTWHD35G;559,99
56;Memória Kingston Fury Renegade, 8GB, 3600MHz, DDR4, CL16, Preto - KF436C16RB/8;169,99
57;Memória XPG Spectrix D35G, RGB, 32GB (2x16GB), 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-DTBKD35G;569,99
58;Memória Lexar, 8GB, 3200MHz, DDR4, CL22, para Notebook - LD4AS008G-B3200GSST;119,99
59;Memória Rise Mode, 4GB, 1600MHz, DDR3, CL11 - RM-D3-4G1600V;49,99
60;Memória Gamer Rise Mode Value, 8GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-8G1600VL;149,99
61;Memória Corsair Vengeance RGB RS, 32GB (2x16GB), 3600MHz, DDR4, CL18, Preto - CMG32GX4M2D3600C18;629,99
62;Memória Kingston Fury Beast, RGB, 32GB (2x16GB), 6000MHz, DDR5, CL40, Preto - KF560C40BBAK2-32;1.069,99
63;Memória Corsair Vengeance LPX, 16GB (2x8GB), 3200MHz, DDR4, CL16, Black - CMK16GX4M2E3200C16;319,99
64;Memória Xpg Spectrix D35g RGB, 16GB, 1x16GB, 3200mhz, DDR4, Preto;255,51
65;Memória Kingston Fury Beast, RGB, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16BBA/32;549,99
66;Memória Kingston Fury Renegade, 32GB (2x16GB), 3600MHz, DDR4, CL16, Preto - KF436C16RB1K2/32;699,99
67;Memória Corsair Vengeance 16GB, 2666MHz, DDR4, C18, para Notebook, Preto - CMSX16GX4M1A2666C18;259,99
68;Memória Kingston Fury Impact, 16GB, 4800MHz, DDR5, CL38, Para Notebook - KF548S38IB-16;419,99
69;Memória Kingston UDIMM, 8GB, 1600MHz, DDR3, Para Desktop - KVR16N11/8;66,00
70;Memória Kingston Fury Beast, RGB, 16GB, 6000MHz, DDR5, CL36, Branco - KF560C36BWEA-16;549,99
71;Memória XPG Gammix D35, 8GB, 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-SBKD35;135,99
72;Memória Corsair, 8GB, 2133MHz, DDR4, CL15, Preto - CMV8GX4M1A2133C15;145,99
73;Memória XPG Lancer, RGB, 16GB, 5200MHz, DDR5, CL38, Preto - AX5U5200C3816G-CLARBK;399,99
74;Memória Kingston Fury Beast, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - KF432C16BBK2/16;349,99
75;Memória Husky Gaming Blizzard RGB, 16GB, 3600MHz, DDR4 - CL26, Preto - HGMF027;279,99
76;Memória Corsair Vengeance RGB Pro, 32GB (2x16GB), 3600MHz, DDR4, C18, Preto - CMW32GX4M2D3600C18;699,99
77;Memória NTC, 8GB, 1600MHz, DDR3, Para Notebook - NTCKF1600ND3-8GB;65,61
78;Memória Kingston Fury Impact, 8GB, 4800MHz, DDR5, CL38, Para Notebook - KF548S38IB-8;259,99
79;Memória Corsair Vengeance LPX 32GB (2x16GB), 2666MHz, DDR4, C16, Preto - CMK32GX4M2A2666C16;499,99
80;Memória Corsair Vengeance RGB RS, 16GB (2x8GB), 3600MHz, DDR4, CL18, Preto - CMG16GX4M2D3600C18;349,99
81;Memória XPG Spectrix D35G, RGB, 16GB, 3200MHz, DDR4, CL16, Preto - AX4U320016G16A-SBKD35G;259,99
82;Memória Crucial, 16GB, 3200MHz, DDR4, Para Notebook - CT16G4SFRA32A;253,30
83;Memória Corsair Vengeance, 8GB, 3200MHz, DDR4, C22, para Notebook, Preto  - CMSX8GX4M1A3200C22;169,99
84;Memória Kingston Fury Beast, RGB, 32GB, 6000MHz, DDR5, CL36, Branco - KF560C36BWEA-32;959,99
85;Memória Crucial SODIMM, 8GB, 3200MHz, DDR4, Para Notebook - CT8G4SFRA32A;165,75
86;Memória Kingston Fury Impact, 32GB (2x16GB), 3200MHz, DDR4, CL20, para Notebook - KF432S20IBK2/32R;579,99
87;Memória Husky Gaming Storm RGB, 8GB, 3200MHz, DDR4 - CL22, Preto - HGMF018;149,99
88;Memória Xpg Spectrix D35g RGB, 8GB, 1x8GB, 3200mhz, DDR4, Preto;181,71
89;Memória Rise Mode Diamond 8GB, 3200MHz, DDR4, CL15, White - RM-D4-8G-3200D;129,99
90;Memória Corsair Vengeance LPX 16GB, 3000MHz, DDR4, CL16, Preto - CMK16GX4M1D3000C16;269,99
91;Memória Gamer Husky Gaming Blizzard RGB, 16GB, 3200MHz, DDR4, CL19, Preto - HGMF005;299,99
92;Memória XPG Gammix D45, 16GB (2x8GB), 3200MHz, DDR4, CL16, Preto - AX4U32008G16A-DCBKD45;339,99
93;Memória Rise Mode Value, 4GB, 1600MHz, DDR3L, CL11, Preto - RM-D3-4G1600VL;49,99
94;Memória Corsair Vengeance para AMD, 32GB (2x16GB), 5200MHz, DDR5, C40, Preto - CMK32GX5M2B5200Z40;799,99
95;Memória Corsair Vengeance Pro, RGB, 32GB (2x16GB), 2666MHz, DDR4, CL16, Black - CMW32GX4M2A2666C16;599,99
96;Memória Corsair Vengeance, 16GB, 4800MHz, DDR5, C40, para Notebook, Preto  - CMSX16GX5M1A4800C40;359,99
97;Memória Corsair Vengeance LPX 16GB (2x8GB), 2666MHz, DDR4, C16, Preto - CMK16GX4M2A2666C16;299,99
98;Memória Kingston Fury Impact, 32GB, 3200MHz, DDR4, CL20, para Notebook - KF432S20IB/32R;559,99
99;Memória Kingston Fury Beast Edição Especial, RGB, 16GB, 3600MHz, DDR4, CL18, Branco - KF436C18BWA/16;359,99
100;Memória Corsair Vengeance RGB Pro, 64GB (2x32GB), 3200MHz, DDR4, C16, Preto - CMW64GX4M2E3200C16;1.099,99
101;Memória ADATA 8GB, 3200MHz, DDR4, CL22, Para Notebook - AD4S32008G22-SGN;158,31
102;Memória Adata XPG, 8GB, 2666MHz, DDR4, CL19, Verde - AD4U26668G19-SGN;139,99
103;Memória Corsair Vengeance RGB Pro, 16GB (2x8GB), 3600MHz, DDR4, CL18 - CMW16GX4M2D3600C18;399,99
104;Memória Corsair Value Select 16GB, 2133MHz, DDR4, C15, para Notebook - CMSO16GX4M1A2133C15;269,99
105;Memória Kingston Fury Beast, 16GB, 3600MHz, DDR4, CL18, Preto - KF436C18BB/16;339,99
106;Memória Corsair Vengeance LPX 32GB (2x16GB) 2400MHz DDR4 C16 Black - CMK32GX4M2A2400C16;499,99
107;Memória Corsair Vengeance, RGB, 64GB (2X32GB), 5600MHz, DDR5, CL40 Preto - CMH64GX5M2B5600Z40K;1.599,99
108;Memória Kingston Fury Beast, 64GB (2x32GB), 3200MHz, DDR4, CL16, Preto - KF432C16BBK2/64;1.099,99
109;Memória Kingston Fury Beast, 8GB, 2666MHz, DDR4, CL16, Para Desktop - KF426C16BB/8;147,68
110;Memória Corsair, 4GB, 2400MHz, DDR4, C16, Preto - CMV4GX4M1A2400C16;109,99
111;Memória Kingston Fury Beast para Intel XMP, 16GB, 5600MHz, DDR5, CL40, Preto - KF556C40BB-16;459,99
112;Memória XPG Spectrix D45G, RGB, 16GB, 3600MHz, DDR4, CL18, Preta - AX4U360016G18I-CBKD45G;339,99
113;Memória Kingston, 8GB, 3200MHz, DDR4, CL22, Para Notebook - KVR32S22S8/8;181,20
114;Memória Kingston Fury Beast, 16GB, 3200MHz, DDR4 - KF432C16BB/16;253,04
115;Memoria RAM Battle-ax  Colorful,8 GB, 3200 Mhz DDR4,Cl16;131,12
116;Memória Corsair Vengeance LPX, 8GB, 3200MHz, DDR4, C16, Preto - CMK8GX4M1Z3200C16;159,99
117;Memória Kingston Fury Beast para Intel XMP, RGB, 64GB (2x32GB), 6000MHz, DDR5, CL40, Branco - KF560C40BWAK2-64;1.899,99
118;Memória Kingston KVR, 8GB, DDR4, 2666MHz, CL19, para Notebook - KVR26S19S8/8;129,99
119;Memória Corsair Vengeance LPX, 16GB, 2666MHz, DDR4, C16, Preto - CMK16GX4M1A2666C16;269,99
120;Memória Kingston Fury Renegade, 32GB, 3200MHz, DDR4, CL16, Preto - KF432C16RB/32;539,99
121;Memória Corsair Vengeance RGB PRO SL, 16GB (2x8GB), 3200MHz, DDR4, CL16, Branco - CMH16GX4M2E3200C16W;399,99
122;Memória Rise Mode Z, 32GB, 4800MHz, DDR5, CL40, Branco - RM-D5-32G-4800ZW;599,99
