ID;Descrição;Preço em R$
47;SSD 4TB Corsair MP600 CORE XT, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 5000MB/s e Gravação: 4400MB/s, Preto - CSSD-F4000GBMP600CXT;1.479,99
48;SSD Lexar 480GB Sata, Leitura 550MB/s, 2.5, Cinza - LNQ100X480G-RNNNU;169,99
49;SSD 1 TB WD Black SN770, M.2, PCIe Gen4x4, NVMe, Leitura: 5150MB/s e Gravação: 4900MB/s - WDS100T3X0E;499,99
50;SSD 2TB Corsair MP600 CORE XT, PCIe Gen 4.0 x4 NVMe M.2, Leitura: 5000MB/s e Gravação: 4400MB/s, Preto - CSSD-F2000GBMP600CXT;769,99
51;SSD Samsung 1TB, 870 QVO, SATA, Leitura 560MB/s e Gravação 530MB/s - MZ-77Q1T0BW;479,99
52;SSD Externo Portátil SanDisk Extreme, 1TB, USB 3.1, Leitura: 1050 MB/s e Gravação: 1000 MB/s, Preto e Laranja - SDSSDE61-1T00-G25;619,99
53;SSD 480GB Sandisk Sata III 2.5, Leitura 535 MB/s E Gravação 445 MB/s - Sdssda-480g-G26;239,85
54;SSD 2TB XPG S70 Blade, PCIe Gen4x4, M.2 NVMe, Leitura: 7400MB/s e Gravação: 6400MB/s, 3D NAND - AGAMMIXS70B-2T-CS;969,99
55;SSD 1TB Kingston Fury Renegade com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 6000MB/s, Preto, compatível com o PlayStation 5 - SFYRSK/1000G;649,99
56;SSD 512 GB Kingston KC3000, M.2 2280 PCIe, NVMe, Leitura: 7000MB/s e Gravação: 3900MB/s - SKC3000S/512G;349,99
57;"SSD 500 GB Samsung 870 EVO Series, 2.5"", SATA III, Leitura: 560MB/s e Gravação: 530MB/s, Preto - MZ-77E500E";349,99
58;SSD 240 GB WD Green PC SN350, PCIe, NVMe, Leitura: 2400MB/s e Gravação: 900MB/s - WDS240G2G0C;189,99
59;SSD 1 TB Samsung 980 PRO Series NVMe, M.2 2280, PCIe 4.0x4, Leitura: 7000MB/s e 5000MB/s - MZ-V8P1T0B/AM;699,99
60;SSD 500 GB WD Black SN770, M.2, PCIe Gen4x4, NVMe, Leitura: 5000MB/s e Gravação: 4000MB/s - WDS500G3X0E;299,99
61;SSD Kingston 1920 GB DC600M Mixed-Use, SATA 2.5, Leitura: 560MB/s e Gravação: 530MB/s - SEDC600M/1920G;1.299,99
62;SSD 2TB Kingston Fury Renegade com Dissipador, PCIe 4.0 NVMe M.2, Gen4x4, Leitura: 7300MB/s e Gravação: 7000MB/s, Preto, compatível com o PlayStation 5 - SFYRDK/2000G;1.199,99
63;SSD Adata 1TB Legend 850 Lite, PCIe Gen 4x4 M.2 2280, Leitura: 5.000MB/s e Gravação:3.200MB/s, Cinza - ALEG-850L-1000GCS;399,99
64;SSD Externo Portátil Kingston 2TB, USB 3.2, Leitura: 1.050MB/s e Gravação: 1.050MB/s - SXS1000/2000G;799,99
65;SSD 120 GB Adata Ultimate SU650, M.2, Leitura: 550MB/s e Gravação: 410MB/s - ASU650NS38-120GT-C;85,99
66;SSD Externo Portátil Sandisk, 2TB, USB, Leitura: 520MB/s, Preto e Laranja - SDSSDE30-2T00-G25;799,99
67;"HD Lexar Nq100 SSD 240GB, Leitura 550MB/S, 2.5"" Sata Iii 6GB/S";189,00
68;SSD Gigabyte Gen3 2500E 1TB, PCIe 3.0x4, NVMe1.3, Leitura:2400MB/s e Gravação:1800MB/s - G325E1TB;399,99
69;SSD Wd Green, 1TB, Sata, Leitura 545mb/s, Gravação 430mb/s - WDS100T2G0A;336,71
70;SSD 512 GB Adata XPG Gammix S11 Pro, M.2 NVMe, Leitura: 3500MB/s e Gravação: 2300MB/s - AGAMMIXS11P-512GT-C;289,99
71;SSD 500 GB Kingston Fury Renegade, M.2 2280 PCIe, NVMe, Leitura: 7300MB/s e Gravação: 3900MB/s - SFYRS/500G;439,99
72;SSD 512GB XPG S41 TUF, M.2 PCIe NVMe, Heatsink, Leitura: 3500MB/s e Gravação: 2400MB/s - AGAMMIXS41-512G-C;269,99
73;SSD Crucial 1TB, Nvme Pcie, Leitura 3500MB/s + Gravação 3000MB/s, P3 - Ct1000p3SSD8;460,00
74;SSD Samsung 1TB, M.2, NVMe 980, Leitura 3500MB/s e Gravação 3000MB/s - MZ-V8V1T0BW;469,99
75;SSD 512 GB XPG S70 Blade, M.2 NVMe, PCIe Gen4x4, Leitura: 7200MB/s e Gravação: 2600MB/s - AGAMMIXS70B-512G-CS;399,99
76;SSD Kingston 480GB DC600M Mixed-Use, SATA 2.5, Leitura: 560MB/s e Gravação: 470MB/s - SEDC600M/480G;499,99
77;SSD Lexar NVME 512GB, Leitura 3300MB/s, Gravação 2400MB/s, Preto - LNM620X512G-RNNNU;209,99
78;SSD Gamer 240 GB Multi, 2.5 SATA, W500, Gravação 500 MB/s - SS210;179,99
79;SSD 1 TB XPG S70 Blade, PCIe Gen4x4, M.2 NVMe, Leitura: 7400MB/s e Gravação: 5500MB/s, 3D NAND - AGAMMIXS70B-1T-CS;629,99
80;SSD WD Black SN850X Gaming Storage 1TB, M.2 2280 PCIe GEN4X4, NVMe, Leitura: 7300 MB/s e Gravação: 6300 MB/s, Preto - WDS100T2X0E;599,99
81;SSD 500 GB XPG Spectrix S20G, M.2 2280, PCIe Gen3x4, Leitura: 2500 MB/s e Gravação: 1800 MB/s, 3D NAND - ASPECTRIXS20G-500G-C;249,99
82;SSD Crucial Bx500, 1TB, Sata 6GB/s 2.5, Leitura 540 MB/s, Escrita 500 MB/s, Preto - Ct1000bx500ssd1;392,27
83;SSD Adata 500GB Legend 850 Lite, PCIe Gen 4x4 M.2 2280, Leitura: 5000 MB/s e Gravação: 1700MB/s, Cinza - ALEG-850L-500GCS;259,99
