ID;Descrição;Preço em R$
62;Kit Cooler Fans 3 Gamer Rise Mode, 120mm, ARGB, Aura Pro, Preto - RM-AUB-02-ARGB;109,99
63;Pasta Térmica Husky  Snowdog, Alta Performance, 12,8w/m.k 1g;39,86
64;Cooler para Processador Gamer Rise Mode X1, Intel, 90mm, Preto - RM-ACX-01-BB;16,99
65;Cooler FAN Mymax Storm II, 120mm, LED Azul, Preto;8,71
66;Water Cooler DeepCool LE500, RGB, 240mm, Intel e AMD - R-LE500-BKLNMC-G-1;780,99
67;Cooler FAN NZXT F120Q, 120mm, Silencioso, Branco - RF-Q12SF-W1;69,99
68;Cooler para Processador Cooler Master MasterAir MA410P, Intel/AMD, RGB, Preto - MAP-T4PN-220PC-R1;199,99
69;Cooler Fan Corsair iCUE SP120 Elite Performance, 3 Unidades, RGB, 120mm, Preto - CO-9050109-WW;349,99
70;Cooler para Processador Cooler Master Hyper 212 RGB Black Edition, LGA 1700, Intel e AMD, 120mm, Preto - RR-212S-20PC-R2;329,99
71;Water Cooler Galax Hydro Vortex, ARGB, 240mm, AMD e Intel, Branco - AGV24AN4AW0;349,99
72;Cooler FAN NZXT, 120mm, RGB, Preto - RF-R12SF-B1;139,99
73;Cooler Fan Gigabyte Aorus, 120mm, ARGB, Preto - GP-AR120RFAN (28400-A12RF-1CSR);129,99
74;Cooler Fan Rise Mode Galaxy Motherboard, 120mm, ARGB, Preto - RM-MB-01-5V;49,99
75;Cooler FAN Rise Mode Galaxy Motherboard 140mm, Led RGB, 12V - RM-MB-04-12V;23,99
76;Cooler Para Processador Mymax, Intel, 80mm, Preto e Verde - MYC/TX900-OR;13,99
77;Pasta Térmica, Thermal Grizzly, Kryonaut Ultra Performance, 1g;69,99
78;Water Cooler Hydro Galax Vortex ARGB, 360mm, Intel e AMD, para PC - AGV36AN4AB0;499,99
79;Water Cooler Rise Mode ARGB, 360mm, AMD/Intel, Preto - RM-WCB-07-ARGB;399,99
80;Pasta Térmica Cooler Master 40G MGZ-NDBG-N40G-R1;159,99
81;Water Cooler Cooler Master MasterLiquid ML120L V2, RGB, 120mm, Preto - MLW-D12M-A18PC-R2;299,99
82;Controladora RGB para Cooler FAN Corsair ICUE Commander Core XT - CL-9011112-WW;379,99
83;Cooler FAN Mymax Storm II, 120mm, LED, Preto E Branco;8,71
84;Cooler Para Processador Duex, Intel, 115X DX C1, 100mm, Preto;15,48
85;Cooler FAN NZXT, 120mm, RGB, Branco - RF-R12SF-W1;99,99
86;Kit Cooler Fan Gamer Rise Mode Magneto, 120mm, ARGB, Preto - RM-MA-01-ARGB;299,99
87;Cooler FAN Mymax Spectrum Ring, 120mm, LED Vermelho - MYC/FC-SP12025/RD;8,71
88;Cooler FAN Gamemax, 120mm, ARGB, Preto - FN-12RAINBOW-D;21,51
89;Water Cooler Gamer Rise Mode Aura Ice, ARGB, 120mm, Intel e AMD, Branco - RM-WAI-01-ARGB;299,99
90;Fan Gamer Rise Mode, Galaxy Led, 120mm, Rainbow;24,64
91;Cooler para Processador NZXT T120, 120mm, Intel e AMD, Preto - RC-TN120-B1;299,99
92;Water Cooler MSI Mag Coreliquid M240, ARGB, 240mm, Intel e AMD, Preto;429,99
93;Pasta Térmica Noctua, 3.5g, Cinza - NT-H1;69,99
94;Kit 3x Cooler Fan Hyrax ARGB, 120mm, para Gabinete, Rosa - HCL603P;89,99
95;Cooler para Processador NZXT T120, 120mm, RGB, Intel e AMD, Preto - RC-TR120-B1;289,99
96;Water Cooler Cooler Master Masterliquid ML360L V2, ARGB, 360mm, Preto - MLW-D36M-A18PA-R2;739,99
97;Cooler FAN Galax Vortex Wind-02, 120x120x25mm, ARGB, Preto - FG02T4PAR0;44,50
98;Cooler FAN Mymax Spectrum Ring, 120mm, LED Azul;8,71
99;Water Cooler NZXT Kraken Elite 360 RGB, 360mm, Intel e AMD, Branco - RL-KR36E-W1;1.999,99
100;Cooler FAN NZXT F140P, 140mm, Pressão Estática, Preto - RF-P14SF-B1;109,99
101;Pasta Térmica Snowdog Husky Alta Performance 12.8w/m.k 3g;67,83
102;Water Cooler NZXT Kraken 240,  240mm,  AMD e Intel, Preto - RL-KN240-B1;969,99
103;Pasta Térmica de Silicone, Implastec Bisnaga, 10g - 31457;3,25
104;Water Cooler NZXT Kraken 120, RGB, 120mm, AMD/Intel, Preto - RL-KR120-B1;349,99
105;Water Cooler PL360 Flux Cooler Master Masterliquid, RGB, 360mm, AMD e Intel, LGA 1700, Para PC, Preto - MLY-D36M-A23PZ-R1;1.249,99
106;Cooler FAN Cooler Master Sickleflow, 120mm, ARGB;89,90
107;Pasta Térmica Cooler Master IceFusion V2, 40g, Branco - RG-ICF-CWR3-GP;69,99
108;Cooler FAN Asus TUF Gaming TF120, 120mm, ARGB, Preto - 90DA0030-B00000;139,99
109;Pasta Termica Dmix Thermal Silver 10g Ps06, Prata 3,05w Mk;9,99
110;Pasta Térmica Noctua NT-H1, 10g - NT-H1-10;119,99
111;Water Cooler Corsair H55, RGB, 120mm, Radiator, Intel e AMD, Preto - CW-9060052-WW;339,99
112;Water Cooler Asus Rog Ryujin III, 360mm, AMD e Intel para PC, Fan Noctua - 90RC00L0-M0UAY0;2.399,99
113;Water Cooler Corsair H60x RGB Elite, RGB, 120mm, Intel e AMD, Preto - CW-9060064-WW2;399,99
114;Cooler FAN NZXT, 140mm, RGB, Preto - RF-R14SF-B1;139,99
115;Cooler FAN Rise Mode Aqua Motherboard, 120mm, ARGB, 5V - RM-MB-03-5V;19,99
116;Kit 3 Cooler FAN NZXT, 120mm, RGB, Branco - RF-R12TF-W1;439,99
117;Kit 3 Cooler FAN NZXT, 120mm, RGB, Preto - RF-R12TF-B1;439,99
118;Cooler para Processador Cooler Master Hyper H410R, AMD/Intel, RGB, Preto - RR-H410-20PC-R1;179,99
119;Water Cooler Para Processador Cooler Master MasterLiquid ML360 Illussion, AMD/Intel, 360mm, ARGB, Preto - MLX-D36M-A18P2-R1;839,99
120;Water Cooler Gamer Rise Mode Aura Frost Pro, 120mm ARGB, Intel e AMD, Branco - RM-WCZ-05-ARGB;199,99
121;Cooler Deepcool Ag400 Preto R-ag400-bklnmc-g-1;134,76
122;Water Cooler Corsair iCUE H150i Elite Capellix XT, RGB, 360mm, Intel e AMD, Preto - CW-9060070-WW;1.549,99
123;Pasta Térmica Cooler Master Cryofuze, 2G - 14W/MK - MGZ-NDSG-N07M-R2;106,70
124;Cooler FAN NZXT F140Q, 140mm, Silencioso, Preto - RF-Q14SF-B1;99,99
125;Cooler Fan Corsair LL120 PRO, 3 Unidades, 120mm, RGB, Preto - CO-9050072-WW;459,99
126;Cooler Fan Corsair Elite, 120mm, RGB, Branco - CO-9050136-WW;89,99
127;Cooler Fan Hyrax Aura HCL100, 120mm, LED RGB, Rosa - HCL100P;24,99
128;Water Cooler Hydro Galax Vortex ARGB, 240mm, Intel e AMD, para PC - AGV24AN4AB0;399,99
129;Water Cooler Para Processador Cooler Master MasterLiquid ML240L V2 RGB, AMD/Intel, 240mm, Branco - MLW-D24M-A18PC-RW;469,99
130;Cooler Fan Noctua 120mm, Cinza - NF-P12 Redux-1300 PWM;129,99
131;Cooler Cpu Intel LGA 1150,1151,1155,1156, I3, I5, I7;31,76
132;Fan Gamer Rise Mode, Hex ARGB, 120mm;40,62
133;Kit 5x Cooler Fan Hyrax ARGB, 120mm, para Gabinete, Branco - HCL605W;224,99
134;Water Cooler Corsair iCUE H150i Elite Capellix XT, RGB, 360mm, AMD e Intel, Preto - CW-9060070-WW;1.199,99
135;Water Cooler Cooler Master Masterliquid ML120L V2, 120mm, Preto - MLW-D12M-A18PK-R2;259,99
136;Water Cooler Hydro Galax Vortex ARGB, 120mm, Intel e AMD, para PC - AGV12AN4AB0;279,99
137;Water Cooler Cooler Master MasterLiquid ML240L V2, RGB, 240mm, Preto - MLW-D24M-A18PC-R2;509,99
138;Kit Cooler Fan Gamer Rise Mode Magneto, 120mm, ARGB, Branco - RM-MA-02-ARGB;299,99
139;Cooler Fan Noctua Redux Edition, 140mm, Cinza - NF-P14s redux-1500 PWM;139,99
140;Cooler Fan Noctua, 120mm, Preto - NF-A12x25PWM CH.BK.S;269,99
141;Cooler Fan Hyrax Aura HCL100, 120mm, LED RGB, Branco - HCL100W;24,99
142;Cooler Fan Corsair LL140 Single, 140mm, RGB, Preto - CO-9050073;129,99
143;Cooler Para Processador Cooler Master Hyper H412R, Intel e AMD, FAN 92mm, 4 Heat Pipes - RR-H412-20PK-R2;230,00
144;Cooler para Processador Gamer Rise Mode X4, Intel, 90mm, Preto e Verde - RM-ACX-04-BG;39,99
145;Kit 2 Cooler FAN NZXT, 140mm, RGB, com Controlador, Branco - RF-R14DF-W1;259,99
146;Kit Cooler FAN com 3 Unidades Brazil PC, RGB - BPC-KSLIM1250-ARGB;81,55
147;Cooler FAN AEROCOOL Molex Frost, 120mm, FRGB;19,91
148;Cooler para Processador NZXT T120, 120mm, Intel e AMD, Branco - RC-TN120-W1;279,99
149;Water Cooler GAMDias Chione, RGB, 240mm, Controlador - M2-240R;326,24
150;Kit Cooler FAN com 3 Unidades DeepCool - RF-120;101,15
151;Cooler FAN Corsair Elite Premium Magnetic, 120mm, LED Branco, Preto - CO-9050121-WW;119,99
152;Cooler Mini Nwt 40x40x10, 24vdc;8,93
153;Cooler para Processador Cooler Master Hyper 212 LED Turbo White Edition, LED, AMD/Intel - RR-212TW-16PW-R1;279,99
154;Cooler Fan Gigabyte Aorus, ARGB, 140mm, Para PC, Preto - GP-AR140RFAN (28400-A14RF-1CSR);129,99
155;Cooler Fan Corsair QLSeries RGB, 3 Unidades, 120mm, Preto - CO-9050098-WW;499,99
156;Cooler FAN Mymax Storm II, 120mm, LED, Preto E Vermelho;8,71
157;Cooler Fan Corsair QL Series RGB, 140mm, Preto - CO-9050099;99,99
158;Water Cooler Gigabyte Aorus Waterforce, ARGB, 360mm, Para PC, Preto - GP-AORUS WATERFORCE 360;1.399,99
159;Cooler Fan Noctua 120mm, Marrom  - NF-F12-PWM;169,99
160;Pasta Térmica Cooler Master Mastergel Maker, Seringa, 4g, Cinza - Mgz-Ndsg-N15m-R2;84,54
161;Controlador de Fans e RGB NZXT V2 - AC-CRFR0-B1;329,99
162;Cooler para Processador Noctua, para AMD/Intel, Preto - NH-D15 CH.BK;1.049,99
163;Cooler FAN EOX, 120mm, RGB LED, 3/4pin - L120;22,00
164;Cooler Fan Noctua Industrial, 120mm, Preto e Marrom - NF-F12 industrialPPC-2000;179,99
165;Water Cooler PL240 Flux Cooler Master Masterliquid, RGB, 240mm, AMD e Intel, LGA 1700, Para PC, Preto - MLY-D24M-A23PZ-R1;799,99
166;Cooler FAN NZXT F120P, 120mm, Pressão Estática, Branco - RF-P12SF-W1;79,99
167;Cooler para Processador Noctua, AMD/Intel, 120mm, Preto Cromado - NH-U12A CH.BK;1.199,99
168;Kit 3 Cooler Cooler Elite Triple, 120mm, RGB, Branco - CO-9050137-WW;249,99
169;Controladora De Fan ARGB, P/ Gabinete Gamer, Mymax;52,71
170;Cooler FAN Corsair AF120 Elite, 120mm, Intel e AMD, Preto - CO-9050140-WW;149,99
171;Water Cooler Cooler Master MasterLiquid ML280 Mirror, RGB, 280mm, AMD/Intel, Preto - MLX-D28M-A14PK-R1;599,99
172;Pasta termica dex prata 1g em seringa ( 3,05 w/mk ) ps01;4,90
173;Cooler FAN Cooler Master Sickleflow 120, ARGB, White Edition - MFX-B2DW-18NPA-R1;88,00
174;Cooler Fan Noctua 120mm, Marrom - NF-S12A PWM;139,99
175;Cooler FAN Corsair AF120 Elite, 120mm, Intel e AMD, Branco - CO-9050142-WW;99,99
176;Cooler Para Processador GAMDIAS Boreas, RGB, Intel e AMD, 120mm, PWM, FAN 6, Heat Pipes - M1-610;167,23
177;Cooler Fan Corsair LL120, 120mm, RGB, Branco - CO-9050091;129,99
178;Cooler Fan Hyrax, 3 Unidades, 120mm, ARGB, Preto - HCL603B;69,99
179;Cooler Processador Deepcool Gammaxx Ag400, ARGB, 120mm, Preto;199,90
180;Water Cooler Deepcool LE300 Rainbow, LED, 120mm, Intel e AMD, Preto - R-LE300-BKLNMC-G-1;269,99
181;Pasta Térmica Thermal Grizzly Aeronaut 1G - TG-A-001-RS;49,99
182;Cooler Para Gabinete Corsair, AF120, LED Red;57,51
183;Pasta Térmica Noctua, 10g - NT-H2-10;199,99
184;Kit Cooler FAN com 3 Unidades Rise Mode, 120mm, RGB, Laser - RM-RGB-05-5V;159,90
185;Air Cooler Deepcool Gammaxx Ag400 ArGB,  Led RGB, 120mm, Intel/amd - R-ag400-bkanmc-g-1;188,60
186;Cooler FAN Noctua NF-A12x15 PWM, 120mm, para PC, Preto - CH.BK.S;219,99
187;Kit 2 Cooler FAN NZXT, 140mm, RGB, com Controlador, Preto - RF-R14DF-B1;359,99
188;Pasta Térmica Dex, Silver, 05g, Seringa Com Pazinha - Ps05;8,89
189;Cooler Fan Noctua, 60mm, Marrom - NF-A6x25-FLX;119,99
190;Cooler Para Processador Redragon TYR, LED Azul, Intel e AMD, 120mm, PWM, FAN, 4 Heat Pipes, TDP 130W - CC-9104B;89,91
191;Cooler Fan Corsair LL120, 3 Unidades, 120mm, RGB, Branco - CO-9050092-WW;399,99
192;Cooler FAN Noctua Redux Edition, 120mm, para PC, Cinza - NF-S12B redux-1200 PWM;119,99
193;Water Cooler Corsair iCUE H170i Elite Capellix XT, RGB, 420mm, AMD e Intel, Preto - CW-9060071-WW;1.399,99
194;Cooler FAN Corsair AF140 Elite, 140mm, Intel e AMD, Preto - CO-9050141-WW;139,99
195;Cooler Fan Hyrax, 5 Unidades, 120mm, ARGB, Rosa - HCL605P;149,99
196;Kit Fan Liketec, C/ 3 Unidades, RGB, 120mm, Lighter, Com Controladora, 47cfm;116,01
197;Cooler FAN NZXT, 140mm, RGB, Branco - RF-R14SF-W1;99,99
198;Cooler Fan Knup, 80MM, Ventoinha Para Gabinete e Cpu Silencioso - 12VDC;9,05
199;Cooler Para Processador Gamemax Gamma 200, RGB;32,15
200;Water Cooler Gigabyte Aorus Liquid Cooler 240, 240mm (2x 120mm), RGB, Intel/AMD, com Display LCD - GP-AORUS WATERFORCE X 240;1.099,99
201;Cooler para Processador Cooler Master MasterAir MA612, AMD/Intel, FAN 120mm, Preto - MAP-T6PS-218PK-R1;499,99
202;Water Cooler Corsair iCUE H150i Elite LCD XT, RGB, 360mm, AMD e Intel, Branco - CW-9060077-WW;1.799,99
203;Cooler Fan DeepCool RF 120, 3 Unidades, 120mm, RGB, Preto - DP-FRGB-RF120-3C;219,99
204;Cooler FAN EOX, 120mm, 3/4pin, Preto - E120;15,00
205;Pasta Térmica Arctic, Mx-4, 4G - Actcp00002b, 8.5 W/mk;59,89
206;Cooler FAN C3Tech Storm, 120mm - F7-100BK;12,64
207;Cooler para Processador NZXT T120, 120mm, RGB, Branco - RC-TR120-W1;259,99
208;Cooler para Processador Cooler Master MasterAir MA824 Stealth, RGB, Intel-AMD, 120mm, Preto - MAM-D8PN-318PK-R1;749,99
209;Pasta Térmica Thermal Silver Seringa, para Processador Note E Pc, com pazinha, Prata, 30g - Ps-08;23,19
210;Water Cooler Asus Rog Strix LC II, 240 ARGB, 240mm, AMD e Intel, para PC - 90RC00E1-M0UAY1;899,99
211;Cooler para Processador Deepcool AG400 WH ARGB GAMMAXX Series, 120mm, Branco - R-AG400-WHANMC-G-2;219,99
212;Cooler FAN Gamemax Big Bowl, 120mm, ARGB, Preto - GMX-12-DBB;21,51
213;Cooler Para Processador, Bluecase, Universal, Intel e AMD, 95W, FAN, Azul - BC-04UABX;33,22
214;Cooler Para Processador Intel, All Black - K69237-001;71,10
215;Water Cooler PCYES Sangue Frio 2 White, 240mm, Intel e AMD - PSF2240H40WHSL;355,16
216;Cooler FAN NZXT F140P, 140mm, Pressão Estática, Branco - RF-P14SF-W1;99,99
217;Cooler Para Processador AMD Wraith Stealth, 92mm, Am4, Preto;71,10
218;Water Cooler Rise Mode ARGB, 120mm, AMD/Intel, Preto - RM-WCB-05-ARGB;249,99
