ID;Descrição;Preço em R$
19;Processador AMD Ryzen 5 4600G Box, 1900MHz, Cache 3MB, Hexa Core, 12 Threads - 100-100000147;612,23
20;Processador Intel Core i5-13600K, 13ª Geração, 5.1GHz Max Turbo, Cache 24MB, 14 Núcleos, LGA 1700, Vídeo Integrado - BX8071513600K;1.899,99
21;Processador Intel Core i5-11400F, 2.6 GHz (4.4GHz Turbo), Cache 12MB, 6 Núcleos, 12 Threads, LGA1200 - BX8070811400F;769,99
22;Processador Intel Core i7-12700KF, 3.6GHz (5.0GHz Max Turbo), Cache 25MB, 12 Núcleos, 20 Threads, LGA 1700 - BX8071512700KF;1.927,99
23;Processador AMD Ryzen 7 5700, 3.7 GHz (4.6GHz Max Turbo), Cachê 4MB, 8 Núcleos, 16 Threads, AM4 - 100-100000743BOX;999,99
24;Processador AMD Ryzen 5 5600GT, 3.6 GHz, (4.6GHz Max Turbo), Cachê 4MB, 6 Núcleos, 12 Threads, AM4 - 100-100001488BOX;889,99
25;Processador AMD Ryzen 5 4500, 3.6GHz, Cache 11MB, Hexa Core, 12 Threads, AM4 - 100100000644BOX;637,41
26;Processador AMD Ryzen 5 5600G, 3.9GHz (4.4GHz Max Turbo), Cache 19MB, 6 Núcleos, 12 Threads, Vídeo Integrado, AM4 - 100-100000252BOX;1.149,99
27;Processador Intel Core i3-10105F, 3.7GHz (4.4GHz Max Turbo), Cache 6MB, Quad Core, 8 Thread, LGA 1200 - BX8070110105F;384,99
28;Processador Intel Core i5-13600KF, 13ª Geração, 5.1GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA 1700 - BX8071513600KF;1.749,99
29;Processador Intel Core i9-12900KF, 3.2GHz (5.2GHz Max Turbo), Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071512900KF;2.349,99
30;Processador Intel Core i3-12100F, 3.3GHz (4.3GHz Max Turbo), Cache 12MB, LGA 1700 - BX8071512100F;579,99
31;Processador AMD Ryzen 5 5600X, 3.7GHz, Cache 32MB, Hexa Core, 12 Threads, AM4 - 100-100000065BOX;1.078,59
32;Processador Intel Core i3-10100F, 3.6GHz (4.3GHz Max Boost), Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110100F;386,99
33;Processador Intel Core i7-12700F, 2.1GHz (4.9GHz Max Turbo), Cache 25MB, LGA 1700 - BX8071512700F;1.789,99
34;Processador AMD Ryzen 9 7900, 5.4GHz Max Turbo, Cache 76MB, AM5, 12 Núcleos, Vídeo Integrado - 100-100000590BOX;2.598,99
35;Processador AMD Ryzen 7 5700X, 3.4GHz (4.6GHz Max Turbo), Cache 36MB, AM4, Sem Vídeo - 100-100000926WOF;1.599,99
36;Processador Intel Pentium Gold G6400 Processor, 4.00 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6400;399,99
37;Processador Intel Core i5-14600KF, 14ª Geração, 5.3 GHz Max Turbo, Cache 24MB, 14 Núcleos, 20 Threads, LGA1700 - BX8071514600KF;2.099,99
38;Processador Intel Celeron G5905, 3.50 GHz, Cache 4MB, 2 Núcleos, 2 Threads, LGA 1200, Vídeo Integrado - BX80701G5905;227,99
39;Processador AMD Ryzen 3 3200G, 3.6GHz (4GHz Max Turbo), Cache 6MB, AM4 - YD3200C5FHBOX;481,50
40;Processador Intel Core i5-13400, 4.6GHz Max Turbo, Cache 20MB, 10 Núcleos, 16 Threads, LGA 1700, Vídeo Integrado - BX8071513400;1.499,99
41;Processador Intel Core i3-13100, 4.5GHz Max Turbo, Cache 12MB, 4 Núcleos, 8 Threads, LGA 1700, Vídeo Integrado - BX8071513100;885,99
42;Processador Intel Core i9-10900KF, 3.7GHz (5.3GHz Max Turbo), Cache 20MB, LGA 1200 - BX8070110900KF;1.899,99
43;Processador Intel Core i7-13700K, 13ª Geração, 5.4GHz Max Turbo, Cache 30MB, 16 Núcleos, LGA 1700, Vídeo Integrado - BX8071513700K;2.645,99
44;Processador Intel Core i5-11600KF 11ª Geração, 3.9 GHz (4.9GHz Turbo), Cache 12MB, Hexa Core, 16 Threads, LGA1200 - BX8070811600KF;988,99
45;Processador Intel Core i9-14900KF, 14ª Geração, 6GHz Max Turbo, Cache 36MB, 24 Núcleos, 32 Threads, LGA1700 - BX8071514900KF;3.749,99
46;Processador AMD Ryzen 7 7700, 5.3GHz Max Turbo, Cache 40MB, AM5, 8 Núcleos, Vídeo Integrado - 100-100000592BOX;1.999,99
47;Processador AMD Ryzen 5 5600, 3.5GHz (4.4GHz Turbo), AM4 - 100-100000927BOX;884,61
48;Processador Intel Core I3-10105 10ª Geração, 3.70GHz, Cache 6MB, Quad Core, 8 Threads, LGA 1200 - BX8070110105;613,55
49;Processador Intel Core I5 12400F 12ª Geração, 2.5GHz (4.4GHz Turbo), Hexa Core, 12 Threads, LGA 1700 - BX8071512400F;945,05
50;Processador AMD Ryzen 9 5950X, 3.4GHz (4.9GHz Max Turbo), Cache 72MB, 16 Núcleos, 32 Threads, AM4 - 100-100000059WOF;2.898,99
51;Processador AMD Ryzen 5 8600G, 4.3 GHz (5.0GHz Max Turbo), Cachê 6MB, 6 Núcleos, 12 Threads, AM5, Vídeo Integrado - 100-100001237BOX;1.399,99
52;Processador AMD Ryzen 9 7950X, 5.7GHz Max Turbo, Cache 80MB, AM5, 16 Núcleos, Vídeo Integrado - 100-100000514WOF;3.758,99
53;Processador AMD Ryzen 9 7900X3D, 5.6GHz Max Turbo, Cache 140MB, AM5, 12 Núcleos, Vídeo Integrado - 100-100000909WOF;3.498,99
54;Processador Intel Pentium Gold G6405, 4.10 GHz, Cache 4MB, Dual Core, 4 Threads, LGA1200 - BX80701G6405;438,99
55;Processador Intel Core i5-12600KF, 3.7GHz (4.9Ghz Max Turbo), Cache 20MB, Quad Core, 16 Threads, LGA 1700 - BX8071512600KF;1.399,99
56;Processador Intel Core i7-13700F, 5.2GHz Max Turbo, Cache 30MB, 16 Núcleos, 24 Threads, LGA 1700 - BX8071513700F;2.299,99
57;Processador Intel Core i9-11900KF 11ª Geração, 3.5 GHz (5.1GHz Turbo), Cache 16MB, Octa Core, 16 Threads, LGA1200 - BX8070811900KF;1.895,99
58;Processador AMD Ryzen 7 5800X, 3.8GHz, Cache 32MB, Octa Core, 16 Threads, AM4 - 100-100000063WOF;1.578,76
